claim,label,language,output,correct,inconclusive
Video of patients crowded at Sassoon Hospital in Pune,half true,mr,अंतिम उत्तर: अर्धसत्य,False,True
The Supreme Court's 'Satyamev Jayate' changed,false,mr,अंतिम उत्तर: असत्य,False,True
Picture of Blue Whale taken from helicopter.,mostly false,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह जानना होगा कि क्या वास्तव में हेलीकॉप्टर से ब्लू व्हेल की तस्वीर ली जा सकती है। ब्लू व्हेल दुनिया का सबसे बड़ा जानवर है और समुद्र की सतह पर आ सकता है, जिससे हेलीकॉप्टर से उसकी तस्वीर लेना संभव है। 

इसलिए, यह कथन संभव है और वास्तविकता के बहुत करीब है।

अंतिम उत्तर: अधिकांशतः सत्य",False,True
"The world's largest Anakonda was killed by the Royal British Commandos after a 37 -day struggle.It killed 257 humans and 2325 animals.It is 134 feet long and weighs 2,067 kg.",false,hi,"यह कथन कई कारणों से अविश्वसनीय प्रतीत होता है। सबसे पहले, वर्तमान में ज्ञात सबसे बड़ी एनाकोंडा की लंबाई लगभग 30 फीट तक होती है, और इसका वजन 250 किलोग्राम तक हो सकता है। 134 फीट लंबी और 2,067 किलोग्राम वजन वाली एनाकोंडा का कोई वैज्ञानिक प्रमाण नहीं है। इसके अलावा, 257 मनुष्यों और 2325 जानवरों को मारने का दावा भी अत्यधिक और अविश्वसनीय है। 

अंतिम उत्तर: असत्य",False,True
The film is tweet made by Congress leader Rahul Gandhi,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Bas Isi is the atmosphere !!,false,gu,અંતિમ જવાબ: ખોટું,False,True
Bhaktas are in the backdrop,half true,gu,અંતિમ જવાબ: અડધું સત્ય,False,True
"At the India Gate there are the names of 5,900 Muslim freedom fighters",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Viral Video is the focal point of nature cyclone in Alibaug,half true,mr,"«वायरल व्हिडिओ» हे एक माध्यम आहे जे एखाद्या घटनेचे चित्रण करते, परंतु ते त्या घटनेचे केंद्रबिंदू असू शकत नाही. «निसर्ग चक्रीवादळ» हे एक नैसर्गिक आपत्ती आहे आणि त्याचे केंद्रबिंदू म्हणजे त्याचे नेमके स्थान आणि प्रभाव क्षेत्र असते. त्यामुळे, «वायरल व्हिडिओ» हे निसर्ग चक्रीवादळाचे केंद्रबिंदू असू शकत नाही.

अंतिम उत्तर: «असत्य»",False,True
"It is being claimed that in this epidemic, UK's Prime Minister Boris Johnson is a normal citizen in the market.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"Due to the lack of amateur tourists due to the lacked, the Kas Plateau has blossomed.",half true,mr,"हे विधान «असत्य» आहे. कारण ""lack of amateur tourists due to the lacked"" हे वाक्य व्याकरणदृष्ट्या चुकीचे आहे आणि अर्थपूर्ण नाही. त्यामुळे, विधानाचा अर्थ स्पष्ट होत नाही.

अंतिम उत्तर: असत्य",False,True
Video of a Muslim domestic assistant mixing his urine in the food of a Hindu home owner.,half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों और तथ्यों की आवश्यकता होती है। इस प्रकार के दावे अक्सर सामाजिक और सांप्रदायिक तनाव को बढ़ावा देने के लिए किए जाते हैं और बिना प्रमाण के इन्हें सत्य मानना उचित नहीं है। 

इसलिए, जब तक इस कथन के समर्थन में कोई ठोस और विश्वसनीय प्रमाण नहीं मिलता, इसे सत्य मानना उचित नहीं है।

अंतिम उत्तर: असत्य",False,True
Kovid Medical Kit Required at home:,half true,gu,અંતિમ જવાબ: મોટાભાગનું સત્ય,False,True
Baba Ramdev made a vaccine from Gaumutra to escape the Corona virus and experimented with himself.,false,gu,અંતિમ જવાબ: ખોટું,False,True
"With the connivance of the Election Commission, hundreds of EVMs in Madhya Pradesh have been kept in strong rooms.",mostly false,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह समझना होगा कि क्या चुनाव आयोग की मिलीभगत से मध्य प्रदेश में सैकड़ों ईवीएम को स्ट्रॉन्ग रूम में रखा गया है या नहीं। 

चुनाव आयोग का काम निष्पक्ष और स्वतंत्र चुनाव कराना है, और ईवीएम को स्ट्रॉन्ग रूम में रखना एक सामान्य प्रक्रिया है ताकि चुनाव के दौरान और बाद में उनकी सुरक्षा सुनिश्चित की जा सके। यह प्रक्रिया चुनाव आयोग के दिशा-निर्देशों के अनुसार होती है और इसमें किसी भी प्रकार की मिलीभगत का आरोप बिना ठोस सबूत के नहीं लगाया जा सकता।

इसलिए, बिना किसी ठोस सबूत के यह कहना कि चुनाव आयोग की मिलीभगत से ईवीएम को स्ट्रॉन्ग रूम में रखा गया है, गलत होगा।

अंतिम उत्तर: «असत्य»",False,True
Bhutan stopped the water coming into Assam.,false,mr,अंतिम उत्तर: असत्य,False,True
Photos of broken metro line near Phoenix Mall in Mumbai.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें यह जांचना होगा कि क्या वास्तव में मुंबई में फीनिक्स मॉल के पास कोई मेट्रो लाइन टूटी हुई है और क्या उसकी तस्वीरें उपलब्ध हैं। 

हालांकि, मेरे पास वर्तमान समय की जानकारी नहीं है, लेकिन मेरे ज्ञान के अनुसार, मुंबई में फीनिक्स मॉल के पास मेट्रो लाइन के टूटने की कोई घटना नहीं हुई है। इसलिए, यह कथन गलत प्रतीत होता है।

अंतिम उत्तर: असत्य",False,True
The Badwaizer has admitted that many of its employees have been urinating in the company's beer tank for years.,false,hi,अंतिम उत्तर: असत्य,False,True
A newspaper's clip on Social Media is being viral with the headline from Sangrur to the Aam Aadmi Party's family members are thinking of getting married to Bhagwant Man.,false,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"BJP leader Locket Chattopadhyay's hand placard wrote, 'Why not die in Bengal in Gujarat'.",mostly false,bn,"আমি এই নির্দিষ্ট দাবির সত্যতা যাচাই করার জন্য পর্যাপ্ত তথ্য খুঁজে পাচ্ছি না। তবে, যদি এই দাবিটি সত্যি হয়, তাহলে এটি সংবাদ মাধ্যম বা অন্যান্য নির্ভরযোগ্য সূত্রে পাওয়া যেত। যেহেতু আমি এই দাবির সত্যতা যাচাই করতে পারছি না, তাই আমি এটি «মিথ্যা» হিসাবে চিহ্নিত করছি।

চূড়ান্ত উত্তর: মিথ্যা",False,True
"After the Maharashtra government has decided to increase the lacanet by July 31, the new 11 required rules have been implemented in Mumbai.",false,mr,अंतिम उत्तर: असत्य,False,True
Sunni Waqf Board has decided to build Babri Hospital on 5 acres of land,mostly false,bn,চূড়ান্ত উত্তর: সত্য,False,True
"In this photo, the workers were seen digging a grave for all the corona viruses in the city as per the order of local authorities in Indonesia.",half true,bn,"এই বক্তব্যটি «মিথ্যা»। করোনাভাইরাস একটি অণুজীব যা শারীরিকভাবে কবর দেওয়া সম্ভব নয়। এটি একটি ভাইরাস যা মানুষের শরীরে সংক্রমণ ঘটায় এবং এটি মাটিতে কবর দেওয়ার মাধ্যমে ধ্বংস করা যায় না। 

চূড়ান্ত উত্তর: মিথ্যা",False,True
"Chief Minister Shivraj Singh Chauhan asked the public that Shivraj is good or Kamal Nath as Chief Minister, the public said in one voice Kamal Nath.",false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि यह घटना वास्तव में हुई है और इसके प्रमाण मौजूद हैं, तो यह कथन सत्य हो सकता है। लेकिन यदि इस घटना के बारे में कोई विश्वसनीय जानकारी या प्रमाण नहीं है, तो यह कथन असत्य हो सकता है।

अंतिम उत्तर: असत्य",False,True
The road is in Gujarat,half true,bn,«চূড়ান্ত উত্তর: অর্ধসত্য»,False,True
This is a video of fights with the saints of Iskon on the streets of Kolkata.,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"British Airways is saying goodbye to the world.For the last 70 years, the highest profit -making airline company has been built, which is unable to believe.",false,gu,અંતિમ જવાબ: ખોટું,False,True
China is killing these pigs to handle the corona virus,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"The skeleton of Bhimaputra Ghattakach was recovered in northern India. """,mostly false,bn,"বক্তব্যটি যাচাই করার জন্য, আমাদের প্রথমে জানতে হবে যে ""Bhimaputra Ghattakach"" নামে কোনো ঐতিহাসিক বা পুরাণিক চরিত্রের অস্তিত্ব আছে কিনা এবং তার কঙ্কাল উত্তর ভারতে পাওয়া গেছে কিনা।

""Bhimaputra Ghattakach"" নামটি শুনে মনে হচ্ছে এটি মহাভারতের একটি চরিত্র হতে পারে। মহাভারতে ভীমের পুত্রের নাম ছিল ঘটোৎকচ। কিন্তু ঘটোৎকচের কঙ্কাল উত্তর ভারতে পাওয়া গেছে এমন কোনো ঐতিহাসিক বা প্রত্নতাত্ত্বিক প্রমাণ নেই।

তাহলে, এই বক্তব্যটি ভিত্তিহীন এবং মিথ্যা।

চূড়ান্ত উত্তর: মিথ্যা",False,True
Muslim woman training in jihad,mostly false,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह समझना होगा कि ""जिहाद"" का अर्थ क्या है और इसे किस संदर्भ में उपयोग किया जा रहा है। 

""जिहाद"" का शाब्दिक अर्थ ""संघर्ष"" या ""प्रयास"" होता है और यह इस्लाम में एक व्यापक अवधारणा है। यह आत्म-सुधार, सामाजिक न्याय, और धार्मिक कर्तव्यों के पालन के लिए संघर्ष को भी शामिल कर सकता है। हालांकि, कुछ संदर्भों में इसे हिंसक संघर्ष या युद्ध के रूप में भी देखा जाता है, जो कि एक विवादास्पद और गलतफहमी पैदा करने वाला दृष्टिकोण हो सकता है।

""Muslim woman training in jihad"" का कथन इस बात पर निर्भर करता है कि ""जिहाद"" को किस प्रकार से परिभाषित किया जा रहा है। अगर इसे आत्म-सुधार या सामाजिक न्याय के संदर्भ में देखा जाए, तो यह कथन सत्य हो सकता है। लेकिन अगर इसे हिंसक संघर्ष के रूप में देखा जाए, तो यह कथन असत्य और भ्रामक हो सकता है।

अंतिम उत्तर: अधिकांशतः असत्य",False,True
"Amazon Prime Videos India has said by tweeting a tweet related to the web series 'Rasabhari' that if 5000 people retweet it, then this series will be deleted.",mostly false,hi,अंतिम उत्तर: असत्य,False,True
The police beat up the people seen in the picture during the lockdown.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में पुलिस ने लॉकडाउन के दौरान तस्वीर में दिख रहे लोगों को पीटा था या नहीं। बिना इस जानकारी के, हम इस कथन की सत्यता का सही-सही मूल्यांकन नहीं कर सकते।

अंतिम उत्तर: असत्य",False,True
Modi mosque built in Bangalore in the name of Prime Minister Modi,false,hi,अंतिम उत्तर: असत्य,False,True
CCTV footage of terrorist attack in Pulwama,false,hi,अंतिम उत्तर: असत्य,False,True
Naxalite Congress activist in the Hathus case,false,mr,"मी दिलेल्या विधानाची सत्यता तपासण्यासाठी पुरेशी माहिती उपलब्ध नाही. ""Hathus case"" आणि ""Naxalite Congress activist"" याबद्दल कोणतीही विशिष्ट माहिती किंवा संदर्भ नसल्यामुळे, मी या विधानाची सत्यता निश्चित करू शकत नाही.

अंतिम उत्तर: अर्धसत्य",False,True
"Weapons recovered from RSS office at Jhandewalan, Delhi.",mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए मुझे विश्वसनीय स्रोतों से जानकारी की आवश्यकता है। मेरे पास वर्तमान में इस कथन की सत्यता की पुष्टि करने के लिए आवश्यक जानकारी नहीं है।

अंतिम उत्तर: असत्य",False,True
This is a picture of a recent farmer protest against the Agricultural Bill,half true,bn,"এই বক্তব্যটি যাচাই করার জন্য আমাদের কাছে পর্যাপ্ত তথ্য নেই। একটি নির্দিষ্ট ছবি না দেখে এবং প্রাসঙ্গিক তথ্য যাচাই না করে এই বক্তব্যের সত্যতা নির্ধারণ করা সম্ভব নয়। 

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
Pistol Tani on an elderly platforms of Social Media Pistol Tani is a picture of a police personnel.,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
The young man was vandalized after the burqa of women during the protest of Islamia students in Jamia Millia in Delhi,false,bn,"এই বক্তব্যটি যাচাই করার জন্য নির্ভরযোগ্য সূত্র থেকে তথ্য সংগ্রহ করা প্রয়োজন। তবে, প্রদত্ত তথ্যের ভিত্তিতে এবং সাধারণ জ্ঞানের আলোকে কিছু বিশ্লেষণ করা যেতে পারে।

বক্তব্যটি বলছে যে একজন যুবককে ভাঙচুর করা হয়েছে কারণ তিনি বোরকা পরা মহিলাদের সাথে জড়িত ছিলেন, এবং এই ঘটনা দিল্লির জামিয়া মিলিয়া ইসলামিয়া বিশ্ববিদ্যালয়ের ইসলামিয়া ছাত্রদের প্রতিবাদের সময় ঘটেছে।

যদি আমরা এই বক্তব্যের প্রতিটি অংশ বিশ্লেষণ করি:
1. ""The young man was vandalized"" - এখানে ""vandalized"" শব্দটি সঠিকভাবে ব্যবহার করা হয়নি। ""Vandalized"" মানে সম্পত্তি বা জিনিসপত্র ধ্বংস করা, যা মানুষের ক্ষেত্রে প্রযোজ্য নয়।
2. ""after the burqa of women"" - এই অংশটি অস্পষ্ট এবং সঠিকভাবে বোঝা যাচ্ছে না।
3. ""during the protest of Islamia students in Jamia Millia in Delhi"" - জামিয়া মিলিয়া ইসলামিয়া বিশ্ববিদ্যালয়ে ছাত্রদের প্রতিবাদ হয়েছে, তবে এই প্রতিবাদের সময়ে এমন কোনো নির্দিষ্ট ঘটনা ঘটেছে কিনা তা যাচাই করা প্রয়োজন।

যেহেতু বক্তব্যটি অস্পষ্ট এবং কিছু অংশ সঠিকভাবে বোঝা যাচ্ছে না, এবং নির্ভরযোগ্য সূত্র থেকে তথ্য যাচাই করা সম্ভব নয়, তাই এই বক্তব্যটি «মিথ্যা» হিসেবে চিহ্নিত করা যেতে পারে।

চূড়ান্ত উত্তর: মিথ্যা",False,True
Suspended DSP Devinder Singh of Jammu and Kashmir has been released from jail.,half true,hi,"मुझे इस समय उपलब्ध जानकारी के आधार पर यह सत्यापित करने में असमर्थता है कि जम्मू और कश्मीर के निलंबित डीएसपी देविंदर सिंह को जेल से रिहा किया गया है या नहीं। इसलिए, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: «असत्य»",False,True
Video of US President Donald Trump with women wearing bikini.,false,hi,अंतिम उत्तर: असत्य,False,True
The viral post is a clown of three pictures and claiming that Ramnath Kovag has been forced in front of Ramnath Kovaga BJP leaders.,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
"Footballer Paul Pogba has quit the game for the country, focusing on French President Macron's comments on Islam's terrorism",false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"The picture is from Rajasthan, where cows died due to hunger.",mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में राजस्थान में गायों की भूख से मृत्यु हुई है और क्या यह तस्वीर उसी घटना से संबंधित है। बिना सटीक जानकारी और प्रमाण के, इस कथन की सत्यता का निर्धारण करना मुश्किल है।

अंतिम उत्तर: आधा सत्य",False,True
"In the picture, Sandeep Singh, close to Deepika Padukone, Ranveer Singh and Sushant, is with underworld don Dawood Ibrahim.",mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जांचना होगा कि क्या वास्तव में सन्दीप सिंह, दीपिका पादुकोण, रणवीर सिंह और सुशांत के साथ किसी तस्वीर में हैं और क्या वह तस्वीर में अंडरवर्ल्ड डॉन दाऊद इब्राहिम के साथ हैं। 

यदि यह जानकारी सत्यापित नहीं की जा सकती या उपलब्ध नहीं है, तो हम इस कथन को सत्य नहीं मान सकते। 

अंतिम उत्तर: असत्य",False,True
Is this Proper Queen Mowe!Pround of Deepika Padukone!India Needs to Stop Alloving The Gowarnement to District Us from the North and Total Failure.,false,gu,અંતિમ જવાબ: ખોટું,False,True
A video of delivery of noodles from drones is being described as real.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में ड्रोन द्वारा नूडल्स की डिलीवरी की जा रही है और क्या यह वीडियो वास्तविक है। 

ड्रोन द्वारा डिलीवरी की तकनीक आजकल कई जगहों पर प्रयोग में लाई जा रही है, और यह संभव है कि नूडल्स जैसी वस्तुओं की डिलीवरी भी ड्रोन द्वारा की जा रही हो। लेकिन, यह भी संभव है कि वीडियो में दिखाया गया दृश्य किसी विशेष प्रभाव या संपादन का परिणाम हो।

इसलिए, बिना किसी ठोस प्रमाण या विश्वसनीय स्रोत के, यह कहना मुश्किल है कि यह वीडियो वास्तविक है या नहीं।

अंतिम उत्तर: आधा सत्य",False,True
Tejashwi Yadav has left Bihar from Delhi to do an aerial survey of Korona victims.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
CRPF jawans became victims of protesters against Dharmendra Citizenship Amendment Act.,half true,hi,"कथन में ""Dharmendra Citizenship Amendment Act"" का उल्लेख किया गया है, जो गलत है। सही नाम ""Citizenship Amendment Act"" (CAA) है। इस अधिनियम के खिलाफ विरोध प्रदर्शन हुए थे, और कुछ मामलों में CRPF (Central Reserve Police Force) के जवानों को भी हिंसा का सामना करना पड़ा था। लेकिन कथन में गलत नाम का उपयोग किया गया है, जिससे यह कथन गलत हो जाता है।

अंतिम उत्तर: असत्य",False,True
A man committed suicide against NRC and CAA.,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में कोई व्यक्ति NRC (National Register of Citizens) और CAA (Citizenship Amendment Act) के विरोध में आत्महत्या कर चुका है। 

ऐसे मामलों की पुष्टि के लिए हमें विश्वसनीय समाचार स्रोतों और रिपोर्टों की जांच करनी होगी। यदि कोई विश्वसनीय स्रोत इस घटना की पुष्टि करता है, तो यह कथन सत्य हो सकता है। यदि कोई विश्वसनीय स्रोत इस घटना की पुष्टि नहीं करता है, तो यह कथन असत्य होगा।

चूंकि मेरे पास वर्तमान में वास्तविक समय की जानकारी तक पहुंच नहीं है, मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता। 

अंतिम उत्तर: आधा सत्य",False,True
The couple is beating the Pakistani police to become a Hindu,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Mamata Banerjee is asking to leave the houses of the Hindus of Bengal.,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
A picture of the funeral of people dying of Corona virus in Italy.,half true,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में ऐसी कोई तस्वीर है जो कोरोना वायरस से मरने वाले लोगों के अंतिम संस्कार को दर्शाती है और वह तस्वीर इटली की है। 

कोरोना वायरस महामारी के दौरान इटली में कई लोगों की मृत्यु हुई थी और उनके अंतिम संस्कार की तस्वीरें भी मीडिया में आई थीं। इसलिए, यह संभव है कि ऐसी तस्वीरें मौजूद हों।

अंतिम उत्तर: अधिकांशतः सत्य",False,True
BJP MP Bhanu Pratat Singh's video criticizing the government.,false,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों की आवश्यकता है। वर्तमान में, मेरे पास इस विशेष वीडियो या घटना के बारे में कोई जानकारी नहीं है। इसलिए, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
"196 suspected patients of Covid 19 have been found in Bikaner, Rajasthan.",half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। चूंकि मेरे पास वर्तमान में वास्तविक समय की जानकारी तक पहुंच नहीं है, मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता। 

अंतिम उत्तर: सत्य, अधिकांशतः सत्य, आधा सत्य, अधिकांशतः असत्य या असत्य में से कोई भी नहीं।",False,True
Union Minister Smriti Irani has called objectionable words for Maa Durga.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
"After the mother's death, the father discovered an extraordinary way of feeding the child.",false,hi,अंतिम उत्तर: सत्य,False,True
Wing Commander Abhinandan's wife appealed not to do politics on the sacrifice of soldiers,false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए मुझे विश्वसनीय स्रोतों से जानकारी की आवश्यकता है। वर्तमान में मेरे पास इस कथन की सत्यता की पुष्टि करने के लिए आवश्यक जानकारी नहीं है। 

अंतिम उत्तर: असत्य",False,True
The video was described as the Indo -Pak war in Sialkot.,false,hi,अंतिम उत्तर: असत्य,False,True
India's first corona vaccine 'Kovishild' will be available in the market in the next 73 days.,false,hi,"यह कथन «असत्य» है। भारत की पहली कोरोना वैक्सीन 'कोविशील्ड' (Covishield) पहले ही बाजार में उपलब्ध हो चुकी है। कोविशील्ड को ऑक्सफोर्ड-एस्ट्राजेनेका द्वारा विकसित किया गया है और इसे भारत में सीरम इंस्टीट्यूट ऑफ इंडिया द्वारा निर्मित किया गया है। यह वैक्सीन जनवरी 2021 में भारत में आपातकालीन उपयोग के लिए मंजूरी प्राप्त कर चुकी है और तब से यह व्यापक रूप से उपलब्ध है।

अंतिम उत्तर: असत्य",False,True
Rare pictures of Babri Masjid,mostly false,hi,अंतिम उत्तर: अधिकांशतः सत्य,False,True
"Social media and Barnala, Barnala, Shiromani Akali Dal, is being viral of Leader Davinder Singh Sidhu Sidhu Sidhu Bijila, which they are told to say that the Akali Dal government '",half true,pa,"ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ, ਪਰ ਤੁਹਾਡੇ ਸਵਾਲ ਦਾ ਜਵਾਬ ਦੇਣ ਲਈ ਮੈਨੂੰ ਵਧੇਰੇ ਸਪਸ਼ਟਤਾ ਦੀ ਲੋੜ ਹੈ। ਤੁਸੀਂ ਕਿਹੜੇ ਬਿਆਨ ਦੀ ਗੱਲ ਕਰ ਰਹੇ ਹੋ ਜੋ ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਵਾਇਰਲ ਹੋ ਰਿਹਾ ਹੈ? ਕਿਰਪਾ ਕਰਕੇ ਬਿਆਨ ਨੂੰ ਸਪਸ਼ਟ ਕਰੋ ਤਾਂ ਜੋ ਮੈਂ ਇਸਦੀ ਸੱਚਾਈ ਜਾਂ ਝੂਠ ਦੀ ਜਾਂਚ ਕਰ ਸਕਾਂ।

ਅੰਤਿਮ ਜਵਾਬ: ਸਪਸ਼ਟਤਾ ਦੀ ਲੋੜ ਹੈ।",False,True
"The man seen in the video is a member of the tabligi Jamaat, who is creating a ruckus during the Quarantein due to the corona virus.",mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें वीडियो की प्रामाणिकता और उसमें दिखाए गए व्यक्ति की पहचान की पुष्टि करनी होगी। इसके अलावा, हमें यह भी जांचना होगा कि क्या वह व्यक्ति वास्तव में तबलीगी जमात का सदस्य है और क्या वह कोरोना वायरस के कारण लगाए गए क्वारंटाइन के दौरान हंगामा कर रहा है।

यदि हमारे पास इन सभी तथ्यों की पुष्टि करने वाले प्रमाण नहीं हैं, तो हम इस कथन को सत्य नहीं मान सकते।

अंतिम उत्तर: असत्य",False,True
Lap,mostly false,bn,"«Lap» শব্দটি একাধিক অর্থ বহন করতে পারে। এটি একটি ইংরেজি শব্দ যা বিভিন্ন প্রসঙ্গে বিভিন্ন অর্থ প্রকাশ করতে পারে। উদাহরণস্বরূপ:

1. শরীরের অংশ: যখন কেউ বসে থাকে, তখন তার উরু এবং পেটের মধ্যবর্তী অংশকে «lap» বলা হয়।
2. দৌড় বা সাঁতার প্রতিযোগিতায়: একটি সম্পূর্ণ চক্র বা রাউন্ডকে «lap» বলা হয়।
3. তরল পদার্থের ক্ষেত্রে: কোনো প্রাণী যখন জিহ্বা দিয়ে পানি বা অন্য কোনো তরল পান করে, তখন তাকে «lap» বলা হয়।

এই সমস্ত অর্থের মধ্যে কোনটি সঠিক তা নির্ভর করে প্রসঙ্গের উপর। তবে, যদি শুধুমাত্র শব্দটি «Lap» হিসেবে বিবেচনা করা হয় এবং কোনো নির্দিষ্ট প্রসঙ্গ না থাকে, তাহলে এটি একটি সঠিক শব্দ এবং এর বিভিন্ন অর্থ থাকতে পারে।

চূড়ান্ত উত্তর: সত্য",False,True
Priyanka Gandhi's wedding rituals were completed by a cleric.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
An independent candidate started crying on Jalandhar seat on getting just five votes.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। हालांकि, इस समय मेरे पास इस विशेष घटना की पुष्टि करने के लिए कोई विश्वसनीय स्रोत नहीं है। इसलिए, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
In this photo the scene of the attack on the BJP gangs in West Bengal is seen,mostly false,bn,"এই বক্তব্যটি যাচাই করার জন্য প্রয়োজনীয় তথ্য আমার কাছে নেই। একটি নির্দিষ্ট ছবি এবং তার প্রেক্ষাপট সম্পর্কে সঠিক তথ্য না থাকলে এই বক্তব্যের সত্যতা নির্ধারণ করা সম্ভব নয়। 

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
Italian Prime Minister Giusappa Conte surrendered due to not being able to control Covid-19.,false,hi,अंतिम उत्तर: असत्य,False,True
"'The tons of the Viagra company in Southern Ireland fell into the river, which got excited by drinking water and continued to behave uncontrollably for a week.'",false,hi,अंतिम उत्तर: असत्य,False,True
Amit Shah's offensive comment about the Bengalis in Anand Bazar.,mostly false,bn,"আমি দুঃখিত, কিন্তু আমি নির্দিষ্ট ব্যক্তির মন্তব্যের সত্যতা যাচাই করতে সক্ষম নই কারণ আমার কাছে সেই তথ্য নেই। তবে, আপনি যদি নির্দিষ্ট তথ্য বা প্রমাণ প্রদান করতে পারেন, তাহলে আমি সেগুলি বিশ্লেষণ করে একটি সিদ্ধান্তে পৌঁছানোর চেষ্টা করতে পারি।

চূড়ান্ত উত্তর: অজানা",False,True
"Oishi Ghosh's injury once left in the left hand, once seen in the right hand",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Rahul Gandhi does not even know that blood bottle is not hung up at the time of blood donation.,false,hi,"इस कथन का सत्यापन करने के लिए हमें यह जानना होगा कि राहुल गांधी ने वास्तव में ऐसा कोई बयान दिया है या नहीं, और यदि दिया है तो उसका संदर्भ क्या है। 

हालांकि, सामान्य ज्ञान के अनुसार, रक्तदान के समय रक्त की बोतल को लटकाया नहीं जाता, बल्कि रक्त को एक संग्रहण बैग में एकत्र किया जाता है जो आमतौर पर एक टेबल या स्टैंड पर रखा जाता है। 

यदि यह कथन किसी वास्तविक घटना या बयान पर आधारित नहीं है, तो यह कथन असत्य हो सकता है। 

अंतिम उत्तर: «असत्य»",False,True
French President Emmanuel Macron has congratulated India before the first consignment of the Rafale fighter aircraft came to India.,false,hi,अंतिम उत्तर: सत्य,False,True
Video of Indian Air Force Apache helicopters patrolling Pangong Tso in Ladakh.,mostly false,hi,अंतिम उत्तर: अधिकांशतः सत्य,False,True
Photo of people lying dead in Italy,mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें संदर्भ और स्रोत की जानकारी की आवश्यकता है। अगर यह कथन किसी विशेष घटना या समय से संबंधित है, तो हमें उस घटना की पुष्टि करनी होगी। बिना किसी संदर्भ या स्रोत के, इस कथन की सत्यता का निर्धारण करना मुश्किल है।

अंतिम उत्तर: असत्य",False,True
A picture in which PM Modi is seen bowing with folded hands in front of Chinese President Xi Jingping.,false,hi,अंतिम उत्तर: असत्य,False,True
